[12:30:25] === Smoke test: ARCC ===
[15:25:51] PFLT 2025-06-30: LLM no result
[15:25:56] PFLT 2025-03-31: LLM no result
[15:26:02] PFX 2025-12-31: LLM no result
[15:26:07] PFX 2025-09-30: LLM no result
[15:26:12] PFX 2025-06-30: LLM no result
[15:26:17] PFX 2025-03-31: LLM no result
[15:26:23] PNNT 2025-09-30: LLM no result
[15:26:28] PNNT 2025-06-30: LLM no result
[15:26:34] PNNT 2025-03-31: LLM no result
[15:26:40] PSEC 2025-09-30: LLM no result
[15:26:44] PSEC 2025-03-31: LLM no result
[15:26:50] RAND 2025-12-31: LLM no result
[15:26:55] RAND 2025-09-30: LLM no result
[15:27:00] RAND 2025-06-30: LLM no result
[15:27:04] RAND 2025-03-31: LLM no result
[15:27:06] committed+pushed: Phase 4 LLM enrichment: 120 funds processed, +158 cells
[15:27:11] RWAY 2025-12-31: LLM no result
[15:27:16] RWAY 2025-09-30: LLM no result
[15:27:21] RWAY 2025-06-30: LLM no result
[15:27:26] RWAY 2025-03-31: LLM no result
[15:27:33] SCM 2025-12-31: LLM no result
[15:27:38] SCM 2025-09-30: LLM no result
[15:27:43] SCM 2025-06-30: LLM no result
[15:27:48] SCM 2025-03-31: LLM no result
[15:27:54] SLRC 2025-12-31: LLM no result
[15:27:58] SLRC 2025-09-30: LLM no result
[15:28:04] SLRC 2025-06-30: LLM no result
[15:28:08] SLRC 2025-03-31: LLM no result
[15:28:14] SSSS 2025-12-31: LLM no result
[15:28:19] SSSS 2025-09-30: LLM no result
[15:28:23] SSSS 2025-06-30: LLM no result
[15:28:28] SSSS 2025-03-31: LLM no result
[15:28:34] TCPC 2025-12-31: LLM no result
[15:28:40] TCPC 2025-09-30: LLM no result
[15:28:45] TCPC 2025-06-30: LLM no result
[15:28:51] TCPC 2025-03-31: LLM no result
[15:28:57] TPVG 2025-12-31: LLM no result
[15:29:02] TPVG 2025-09-30: LLM no result
[15:29:07] TPVG 2025-06-30: LLM no result
[15:29:12] TPVG 2025-03-31: LLM no result
[15:29:18] TRIN 2025-12-31: LLM no result
[15:29:24] TRIN 2025-09-30: LLM no result
[15:29:29] TRIN 2025-06-30: LLM no result
[15:29:34] TRIN 2025-03-31: LLM no result
[15:29:41] TSLX 2025-12-31: LLM no result
